t/c = 0.05
Thickness = 3 mm
flapping amplitude = 160 degree
Medium_or_frequency = 1
Re, aspect_ratio, root_offset, r1_h_design, r1_hat, r2_hat, r3_hat, R (mm), R_total (mm), flapping_frequency (Hz), kinematic_viscosity (m^2/s), S (m^2), ref_vel_Ur2 (m/s), max.force (N), max.moment (Nmm)
100, 2.0, 0.2, 0.5, 0.5833043000338671, 0.6195647089487305, 0.6501299209483165, 120.0, 144.0, 1, 0.0002490988789260893, 0.007198760999941739, 0.4152362534521237, 0.004612096746113908, 0.3598154511548427
100, 2.0, 0.2, 0.55, 0.6237378488806595, 0.6551157214635474, 0.6814266391429254, 120.0, 144.0, 1, 0.0002641094111298361, 0.007218359525865039, 0.4390627707308922, 0.005025614088438031, 0.41095047814963964
100, 2.0, 0.2, 0.6, 0.6616916097265256, 0.6881062678416315, 0.7100895866715321, 120.0, 144.0, 1, 0.00027960143245567287, 0.00727539424786621, 0.4611732471339435, 0.0054687703158977675, 0.4659980223860868
100, 3.0, 0.0, 0.4, 0.4008880830031921, 0.47554343075615324, 0.5298323167330942, 180.0, 180.0, 1, 0.0002861806559471109, 0.010775135549910792, 0.47806839952845354, 0.008489048503168577, 0.8095990023528141
100, 3.0, 0.0, 0.45, 0.45025666780679385, 0.5179245028802987, 0.5672510388886924, 180.0, 180.0, 1, 0.0003121755271875294, 0.010792077365792952, 0.5206745002761254, 0.00967451808828498, 0.9878184785388784
100, 3.0, 0.0, 0.5, 0.4999651600406407, 0.5592610777904609, 0.6029273829085976, 180.0, 180.0, 1, 0.00033728028442981013, 0.010798141499912609, 0.5622305578960709, 0.010884275058943415, 1.1812369457062935
100, 3.0, 0.0, 0.55, 0.5484854186567915, 0.5988490200291033, 0.6364246490102271, 180.0, 180.0, 1, 0.0003621382990524824, 0.010827539288797558, 0.6020286982185209, 0.012142335551597033, 1.3909826954861177
100, 3.0, 0.0, 0.6, 0.5940299316718306, 0.6357782372377179, 0.6671134287358721, 180.0, 180.0, 1, 0.00038750810920542563, 0.010913091371799315, 0.6391539966138505, 0.013479452981504717, 1.6186183372756056
100, 3.0, 0.1, 0.4, 0.45535280273017464, 0.5112932647627106, 0.5566740782838067, 180.0, 197.99999999999997, 1, 0.0003076948022570051, 0.010775135549910792, 0.5140080526107113, 0.009465616415891274, 0.948467392866782
100, 3.0, 0.1, 0.45, 0.5002333343698125, 0.5517044395619508, 0.592969622798726, 180.0, 197.99999999999997, 1, 0.0003325361579036114, 0.010792077365792952, 0.5546337965698235, 0.010651063414527286, 1.13683626995716
