
wing_chord = 1.0 (m)
stroke_time = 0.96 (m)
pitch_acc_time_fraction = 0.5
Re, stroke_dist, acc_time_fraction, pitch_time_fraction, pitch_angle, acc_t (s), steady_t (s), pitch_t (s), nu (m^2/s), acc (m/s^2), pitch_acc (deg/s^2), steady_velocity (m/s), acc_dist (chords), steady_dist (chords), pitch_dist (chords), c_U (s)
100.0, 7.0, 0.125, 0.5, 90.0, 0.06, 0.84, 0.48, 0.07777777777777778, 129.62962962962965, 2083.3333333333335, 7.777777777777779, 0.23333333333333334, 6.533333333333334, 3.5000000000000004, 0.12857142857142856
100.0, 7.0, 0.25, 0.125, 90.0, 0.12, 0.72, 0.12, 0.08333333333333334, 69.44444444444446, 33333.333333333336, 8.333333333333334, 0.5, 6.0, 0.5000000000000001, 0.12
100.0, 7.0, 0.25, 0.25, 90.0, 0.12, 0.72, 0.24, 0.08333333333333334, 69.44444444444446, 8333.333333333334, 8.333333333333334, 0.5, 6.0, 1.5, 0.12
100.0, 7.0, 0.25, 0.5, 90.0, 0.12, 0.72, 0.48, 0.08333333333333334, 69.44444444444446, 2083.3333333333335, 8.333333333333334, 0.5, 6.0, 3.5, 0.12
100.0, 7.0, 0.5, 0.125, 90.0, 0.24, 0.48, 0.12, 0.09722222222222224, 40.50925925925927, 33333.333333333336, 9.722222222222223, 1.1666666666666667, 4.666666666666667, 0.2916666666666667, 0.10285714285714284
100.0, 7.0, 0.5, 0.25, 90.0, 0.24, 0.48, 0.24, 0.09722222222222224, 40.50925925925927, 8333.333333333334, 9.722222222222223, 1.1666666666666667, 4.666666666666667, 1.1666666666666667, 0.10285714285714284
100.0, 7.0, 0.5, 0.5, 90.0, 0.24, 0.48, 0.48, 0.09722222222222224, 40.50925925925927, 2083.3333333333335, 9.722222222222223, 1.1666666666666667, 4.666666666666667, 3.5, 0.10285714285714284
100.0, 9.0, 0.125, 0.125, 90.0, 0.06, 0.84, 0.12, 0.10000000000000002, 166.6666666666667, 33333.333333333336, 10.000000000000002, 0.30000000000000004, 8.4, 0.9000000000000001, 0.09999999999999998
100.0, 9.0, 0.125, 0.25, 90.0, 0.06, 0.84, 0.24, 0.10000000000000002, 166.6666666666667, 8333.333333333334, 10.000000000000002, 0.30000000000000004, 8.4, 2.1000000000000005, 0.09999999999999998
100.0, 9.0, 0.125, 0.5, 90.0, 0.06, 0.84, 0.48, 0.10000000000000002, 166.6666666666667, 2083.3333333333335, 10.000000000000002, 0.30000000000000004, 8.4, 4.5, 0.09999999999999998
100.0, 9.0, 0.25, 0.125, 90.0, 0.12, 0.72, 0.12, 0.10714285714285715, 89.28571428571429, 33333.333333333336, 10.714285714285715, 0.6428571428571429, 7.714285714285714, 0.6428571428571429, 0.09333333333333332
100.0, 9.0, 0.25, 0.25, 90.0, 0.12, 0.72, 0.24, 0.10714285714285715, 89.28571428571429, 8333.333333333334, 10.714285714285715, 0.6428571428571429, 7.714285714285714, 1.9285714285714288, 0.09333333333333332
100.0, 9.0, 0.25, 0.5, 90.0, 0.12, 0.72, 0.48, 0.10714285714285715, 89.28571428571429, 2083.3333333333335, 10.714285714285715, 0.6428571428571429, 7.714285714285714, 4.5, 0.09333333333333332
100.0, 9.0, 0.5, 0.125, 90.0, 0.24, 0.48, 0.12, 0.125, 52.083333333333336, 33333.333333333336, 12.5, 1.5, 6.0, 0.375, 0.08
100.0, 9.0, 0.5, 0.25, 90.0, 0.24, 0.48, 0.24, 0.125, 52.083333333333336, 8333.333333333334, 12.5, 1.5, 6.0, 1.5, 0.08
100.0, 9.0, 0.5, 0.5, 90.0, 0.24, 0.48, 0.48, 0.125, 52.083333333333336, 2083.3333333333335, 12.5, 1.5, 6.0, 4.5, 0.08
1000.0, 3.0, 0.125, 0.125, 90.0, 0.06, 0.84, 0.12, 0.0033333333333333335, 55.55555555555556, 33333.333333333336, 3.3333333333333335, 0.1, 2.8, 0.30000000000000004, 0.3
1000.0, 3.0, 0.125, 0.25, 90.0, 0.06, 0.84, 0.24, 0.0033333333333333335, 55.55555555555556, 8333.333333333334, 3.3333333333333335, 0.1, 2.8, 0.7, 0.3
1000.0, 3.0, 0.125, 0.5, 90.0, 0.06, 0.84, 0.48, 0.0033333333333333335, 55.55555555555556, 2083.3333333333335, 3.3333333333333335, 0.1, 2.8, 1.5, 0.3
1000.0, 3.0, 0.25, 0.125, 90.0, 0.12, 0.72, 0.12, 0.0035714285714285718, 29.761904761904766, 33333.333333333336, 3.5714285714285716, 0.2142857142857143, 2.5714285714285716, 0.2142857142857143, 0.27999999999999997
1000.0, 3.0, 0.25, 0.25, 90.0, 0.12, 0.72, 0.24, 0.0035714285714285718, 29.761904761904766, 8333.333333333334, 3.5714285714285716, 0.2142857142857143, 2.5714285714285716, 0.6428571428571429, 0.27999999999999997
1000.0, 3.0, 0.25, 0.5, 90.0, 0.12, 0.72, 0.48, 0.0035714285714285718, 29.761904761904766, 2083.3333333333335, 3.5714285714285716, 0.2142857142857143, 2.5714285714285716, 1.5, 0.27999999999999997
1000.0, 3.0, 0.5, 0.125, 90.0, 0.24, 0.48, 0.12, 0.004166666666666667, 17.361111111111114, 33333.333333333336, 4.166666666666667, 0.5, 2.0, 0.12500000000000003, 0.24
1000.0, 3.0, 0.5, 0.25, 90.0, 0.24, 0.48, 0.24, 0.004166666666666667, 17.361111111111114, 8333.333333333334, 4.166666666666667, 0.5, 2.0, 0.5000000000000001, 0.24
1000.0, 3.0, 0.5, 0.5, 90.0, 0.24, 0.48, 0.48, 0.004166666666666667, 17.361111111111114, 2083.3333333333335, 4.166666666666667, 0.5, 2.0, 1.5, 0.24
1000.0, 5.0, 0.125, 0.125, 90.0, 0.06, 0.84, 0.12, 0.005555555555555557, 92.59259259259261, 33333.333333333336, 5.555555555555556, 0.16666666666666669, 4.666666666666667, 0.5, 0.17999999999999997
1000.0, 5.0, 0.125, 0.25, 90.0, 0.06, 0.84, 0.24, 0.005555555555555557, 92.59259259259261, 8333.333333333334, 5.555555555555556, 0.16666666666666669, 4.666666666666667, 1.1666666666666667, 0.17999999999999997
1000.0, 5.0, 0.125, 0.5, 90.0, 0.06, 0.84, 0.48, 0.005555555555555557, 92.59259259259261, 2083.3333333333335, 5.555555555555556, 0.16666666666666669, 4.666666666666667, 2.5, 0.17999999999999997
1000.0, 5.0, 0.25, 0.125, 90.0, 0.12, 0.72, 0.12, 0.005952380952380953, 49.60317460317461, 33333.333333333336, 5.9523809523809526, 0.35714285714285715, 4.285714285714286, 0.35714285714285715, 0.16799999999999998
1000.0, 5.0, 0.25, 0.25, 90.0, 0.12, 0.72, 0.24, 0.005952380952380953, 49.60317460317461, 8333.333333333334, 5.9523809523809526, 0.35714285714285715, 4.285714285714286, 1.0714285714285714, 0.16799999999999998
1000.0, 5.0, 0.25, 0.5, 90.0, 0.12, 0.72, 0.48, 0.005952380952380953, 49.60317460317461, 2083.3333333333335, 5.9523809523809526, 0.35714285714285715, 4.285714285714286, 2.5, 0.16799999999999998
1000.0, 5.0, 0.5, 0.125, 90.0, 0.24, 0.48, 0.12, 0.006944444444444445, 28.935185185185187, 33333.333333333336, 6.944444444444445, 0.8333333333333334, 3.3333333333333335, 0.20833333333333334, 0.144
1000.0, 5.0, 0.5, 0.25, 90.0, 0.24, 0.48, 0.24, 0.006944444444444445, 28.935185185185187, 8333.333333333334, 6.944444444444445, 0.8333333333333334, 3.3333333333333335, 0.8333333333333334, 0.144
1000.0, 5.0, 0.5, 0.5, 90.0, 0.24, 0.48, 0.48, 0.006944444444444445, 28.935185185185187, 2083.3333333333335, 6.944444444444445, 0.8333333333333334, 3.3333333333333335, 2.5, 0.144
1000.0, 7.0, 0.125, 0.125, 90.0, 0.06, 0.84, 0.12, 0.007777777777777778, 129.62962962962965, 33333.333333333336, 7.777777777777779, 0.23333333333333334, 6.533333333333334, 0.7, 0.12857142857142856
1000.0, 7.0, 0.125, 0.25, 90.0, 0.06, 0.84, 0.24, 0.007777777777777778, 129.62962962962965, 8333.333333333334, 7.777777777777779, 0.23333333333333334, 6.533333333333334, 1.6333333333333335, 0.12857142857142856
1000.0, 7.0, 0.125, 0.5, 90.0, 0.06, 0.84, 0.48, 0.007777777777777778, 129.62962962962965, 2083.3333333333335, 7.777777777777779, 0.23333333333333334, 6.533333333333334, 3.5000000000000004, 0.12857142857142856
1000.0, 7.0, 0.25, 0.125, 90.0, 0.12, 0.72, 0.12, 0.008333333333333333, 69.44444444444446, 33333.333333333336, 8.333333333333334, 0.5, 6.0, 0.5000000000000001, 0.12
