
wing_chord = 1.0 (m)
stroke_time = 0.96 (m)
pitch_acc_time_fraction = 0.5
Re, stroke_dist, acc_time_fraction, pitch_time_fraction, pitch_angle, acc_t (s), steady_t (s), pitch_t (s), nu (m^2/s), acc (m/s^2), pitch_acc (deg/s^2), steady_velocity (m/s), acc_dist (chords), steady_dist (chords), pitch_dist (chords), c_U (s)
100.0, 5.0, 0.125, 0.25, 90.0, 0.06, 0.84, 0.24, 0.05555555555555556, 92.59259259259261, 8333.333333333334, 5.555555555555556, 0.16666666666666669, 4.666666666666667, 1.1666666666666667, 0.17999999999999997
100.0, 5.0, 0.125, 0.5, 90.0, 0.06, 0.84, 0.48, 0.05555555555555556, 92.59259259259261, 2083.3333333333335, 5.555555555555556, 0.16666666666666669, 4.666666666666667, 2.5, 0.17999999999999997
100.0, 5.0, 0.25, 0.125, 90.0, 0.12, 0.72, 0.12, 0.05952380952380953, 49.60317460317461, 33333.333333333336, 5.9523809523809526, 0.35714285714285715, 4.285714285714286, 0.35714285714285715, 0.16799999999999998
100.0, 5.0, 0.25, 0.25, 90.0, 0.12, 0.72, 0.24, 0.05952380952380953, 49.60317460317461, 8333.333333333334, 5.9523809523809526, 0.35714285714285715, 4.285714285714286, 1.0714285714285714, 0.16799999999999998
100.0, 5.0, 0.25, 0.5, 90.0, 0.12, 0.72, 0.48, 0.05952380952380953, 49.60317460317461, 2083.3333333333335, 5.9523809523809526, 0.35714285714285715, 4.285714285714286, 2.5, 0.16799999999999998
100.0, 5.0, 0.5, 0.125, 90.0, 0.24, 0.48, 0.12, 0.06944444444444445, 28.935185185185187, 33333.333333333336, 6.944444444444445, 0.8333333333333334, 3.3333333333333335, 0.20833333333333334, 0.144
100.0, 5.0, 0.5, 0.25, 90.0, 0.24, 0.48, 0.24, 0.06944444444444445, 28.935185185185187, 8333.333333333334, 6.944444444444445, 0.8333333333333334, 3.3333333333333335, 0.8333333333333334, 0.144
100.0, 5.0, 0.5, 0.5, 90.0, 0.24, 0.48, 0.48, 0.06944444444444445, 28.935185185185187, 2083.3333333333335, 6.944444444444445, 0.8333333333333334, 3.3333333333333335, 2.5, 0.144
100.0, 7.0, 0.125, 0.125, 90.0, 0.06, 0.84, 0.12, 0.07777777777777778, 129.62962962962965, 33333.333333333336, 7.777777777777779, 0.23333333333333334, 6.533333333333334, 0.7, 0.12857142857142856
100.0, 7.0, 0.125, 0.25, 90.0, 0.06, 0.84, 0.24, 0.07777777777777778, 129.62962962962965, 8333.333333333334, 7.777777777777779, 0.23333333333333334, 6.533333333333334, 1.6333333333333335, 0.12857142857142856
