x(chord_dir), y(span_dir)
15.0, 0.0
15.111021523848878, 1.2
15.28533922136922, 2.4
15.495038173693475, 3.6
15.731195173788969, 4.8
15.988856336917031, 5.999999999999999
16.26476074355756, 7.2
16.55655401741873, 8.4
16.862432994868335, 9.6
17.18095860576056, 10.799999999999999
17.510946812557574, 11.999999999999998
17.85140023978757, 13.199999999999998
18.201462882398705, 14.4
18.560388774859305, 15.6
18.92751954656184, 16.8
19.30226787244964, 18.0
19.68410497110036, 19.2
20.072550963276374, 20.4
20.467167302752642, 21.599999999999998
20.867550740949017, 22.799999999999997
21.273328448297203, 23.999999999999996
21.684154022515884, 25.199999999999996
22.09970418697604, 26.399999999999995
22.51967603312211, 27.599999999999994
22.943784696924236, 28.8
23.37176138531495, 30.0
23.80335168759992, 31.2
24.238314120979894, 32.4
24.67641886997317, 33.6
25.11744668764275, 34.8
25.561187932782587, 36.0
26.00744172207973, 37.199999999999996
26.456015180087256, 38.4
26.90672277286708, 39.599999999999994
27.359385713575982, 40.8
27.813831430210843, 41.99999999999999
28.269893087302226, 43.199999999999996
28.72740915462869, 44.39999999999999
29.186223017076884, 45.599999999999994
29.6461826206412, 46.8
30.107140150277726, 47.99999999999999
30.568951735928522, 49.199999999999996
31.031477183536293, 50.39999999999999
31.4945797282938, 51.599999999999994
31.9581258077315, 52.79999999999999
32.42198485255153, 53.99999999999999
32.88602909337645, 55.19999999999999
33.350133381803055, 56.39999999999999
33.81417502434341, 57.6
34.27803362799931, 58.8
34.741590956359175, 60.0
35.204730795229835, 61.199999999999996
35.667338826923064, 62.4
36.12930251241053, 63.59999999999999
36.59051098064289, 64.8
37.05085492440056, 65.99999999999999
37.510226502107145, 67.2
37.96851924509187, 68.39999999999999
38.42562796983701, 69.6
38.88144869478952, 70.79999999999998
39.33587856135479, 72.0
39.788815758724894, 73.19999999999999
40.24015945222395, 74.39999999999999
40.68980971488062, 75.59999999999998
41.137667461962195, 76.8
41.58363438822593, 78.0
42.0276129076634, 79.19999999999999
42.46950609553048, 80.4
42.90921763247143, 81.6
43.34665175055981, 82.8
43.781713181090744, 83.99999999999999
44.214307103971635, 85.2
44.64433909856693, 86.39999999999999
45.07171509586344, 87.6
45.496341331829385, 88.79999999999998
45.91812430184854, 90.0
46.33697071611726, 91.19999999999999
46.752787455897675, 92.39999999999999
47.16548153052623, 93.6
47.574960035080565, 94.8
47.98113010861265, 95.99999999999999
48.3838988928592, 97.19999999999999
48.7831734913434, 98.39999999999999
49.1788609287853, 99.6
49.57086811074, 100.79999999999998
49.95910178338465, 102.0
50.3434684933773, 103.19999999999999
50.72387454771144, 104.39999999999999
51.10022597349093, 105.59999999999998
51.472428477550935, 106.8
51.840387405850336, 107.99999999999999
52.2040077025612, 109.19999999999999
52.56319386878043, 110.39999999999998
52.9178499207883, 111.6
53.26787934777701, 112.79999999999998
53.61318506897197, 113.99999999999999
53.95366939006602, 115.2
54.28923395888545, 116.39999999999999
54.619779720204534, 117.6
54.945206869621956, 118.79999999999998
55.26541480641054, 120.0
55.58030208524767, 121.19999999999999
55.8897663667304, 122.39999999999999
56.19370436657502, 123.6
56.49201180339653, 124.8
56.78458334495804, 126.0
57.071312552775, 127.19999999999997
57.35209182495297, 128.39999999999998
57.62681233713094, 129.6
57.89536398139505, 130.8
58.157635303019845, 131.99999999999997
58.41351343488509, 133.2
58.6628840294073, 134.4
58.905631187814514, 135.6
59.141637386581785, 136.79999999999998
59.370783400832686, 137.99999999999997
59.59294822449856, 139.2
59.8080089870131, 140.4
60.015840866303606, 141.59999999999997
60.21631699782312, 142.79999999999998
60.40930837934864, 144.0
60.594683771249684, 145.2
60.77230959190937, 146.39999999999998
60.94204980795431, 147.6
61.10376581892336, 148.79999999999998
61.25731633597466, 150.0
61.40255725419782, 151.19999999999996
61.53934151806169, 152.39999999999998
61.66751897948841, 153.6
61.78693624800073, 154.79999999999998
61.89743653234065, 156.0
61.99885947290403, 157.2
62.091040964276644, 158.39999999999998
62.173812967091244, 159.6
62.24700330835215, 160.8
62.31043546929304, 161.99999999999997
62.36392835974317, 163.2
62.40729607787651, 164.39999999999998
62.44034765410637, 165.6
62.46288677776164, 166.79999999999998
62.4747115050407, 167.99999999999997
62.47561394658028, 169.2
62.46537993279924, 170.4
62.44378865497642, 171.59999999999997
62.41061227979596, 172.79999999999998
62.365615534837, 174.0
62.30855526219501, 175.2
62.23917993709211, 176.39999999999998
62.157229147957764, 177.59999999999997
62.062433034033575, 178.79999999999998
61.954511676064, 180.0
61.833174435073246, 181.19999999999996
61.69811923358009, 182.39999999999998
61.54903177285587, 183.6
61.385584678966985, 184.79999999999998
61.20743656933998, 185.99999999999997
61.01423103042087, 187.2
60.805595495637306, 188.39999999999998
60.58114001127549, 189.6
60.34045587600629, 190.79999999999998
60.083114137579244, 191.99999999999997
59.80866392757802, 193.2
59.5166306120083, 194.39999999999998
59.20651373175805, 195.6
58.877784702494445, 196.79999999999998
58.529884238164065, 197.99999999999997
58.1622194557249, 199.2
57.77416061077518, 200.4
57.36503740399211, 201.59999999999997
56.934134786282605, 202.79999999999998
56.480688175661896, 204.0
56.00387798030753, 205.2
55.50282329891214, 206.39999999999998
54.976574639945774, 207.59999999999997
54.42410546379846, 208.79999999999998
53.84430230336348, 210.0
53.235953155798164, 211.19999999999996
52.59773375587326, 212.39999999999998
51.92819123231374, 213.6
51.22572450255645, 214.79999999999998
50.488560563465256, 215.99999999999997
49.714725563706985, 217.2
48.90200916460746, 218.39999999999998
48.047920159756636, 219.6
