x(chord_dir),y(span_dir)
0.0015,0.18
0.016844271746982987,0.18018
0.017575467506205714,0.18036
0.018013363455876237,0.18054
0.01832747884914451,0.18072
0.01857240118032688,0.1809
0.01877288703162041,0.18108
0.01894232554476422,0.18126
0.01908879930509494,0.18144
0.019217571803222318,0.18162
0.019332266960405832,0.1818
0.019435488747200736,0.18198
0.019529172677125266,0.18216
0.019614797534081387,0.18234
0.019693519217682635,0.18252
0.019766258783890017,0.1827
0.019833762317026327,0.18288
0.019896642815672997,0.18306
0.019955410219669806,0.18324
0.020010493398188688,0.18342
0.020062256554719347,0.18359999999999999
0.020111011670873136,0.18378
0.02015702808592982,0.18395999999999998
0.020200539969864432,0.18414
0.02024175222330801,0.18431999999999998
0.020280845186473464,0.1845
0.020317978434908696,0.18467999999999998
0.02035329386704497,0.18486
0.020386918236699948,0.18503999999999998
0.020418965246345563,0.18522
0.020449537289669698,0.18539999999999998
0.020478726911792512,0.18558
0.020506618040420494,0.18575999999999998
0.02053328702983176,0.18594
0.020558803550899517,0.18611999999999998
0.020583231353674993,0.1863
0.020606628923862634,0.18647999999999998
0.020629050050461378,0.18666
0.020650544318647105,0.18684
0.02067115753943285,0.18702
0.020690932125615378,0.1872
0.020709907421886744,0.18738
0.02072811999567142,0.18756
0.02074560389417792,0.18774
0.02076239087227793,0.18792
0.02077851059510648,0.1881
0.02079399081868255,0.18828
0.02080885755135713,0.18846
0.020823135198485686,0.18864
0.020836846692378758,0.18882
0.020850013609296763,0.189
0.020862656275012152,0.18918
0.02087479386025694,0.18936
0.020886444467199488,0.18954
0.0208976252079459,0.18972
0.020908352275934745,0.18989999999999999
0.020918641010985353,0.19008
0.02092850595866626,0.19025999999999998
0.020937960924570318,0.19044
0.020947019024013115,0.19061999999999998
0.0209556927276113,0.1908
0.020963993903145028,0.19097999999999998
0.020971933854063048,0.19116
0.020979523354949275,0.19133999999999998
0.0209867726842348,0.19152
0.020993691654408824,0.19169999999999998
0.021000289639954966,0.19188
0.021006575603216084,0.19205999999999998
0.021012558118369627,0.19224
0.021018245393677117,0.19241999999999998
0.02102364529215526,0.1926
0.02102876535080136,0.19278
0.021033612798493133,0.19296
0.021038194572671257,0.19313999999999998
0.02104251733490307,0.19332
0.021046587485416355,0.1935
0.02105041117668426,0.19368
0.021053994326134848,0.19386
0.02105734262805234,0.19404
0.021060461564731053,0.19422
0.02106335641693788,0.1944
0.021066032273734204,0.19458
0.02106849404170388,0.19476
0.021070746453629982,0.19494
0.02107279407665944,0.19512
0.0210746413199916,0.1953
0.02107629244212362,0.19548
0.021077751557683124,0.19566
0.02107902264387616,0.19584
0.021080109546576114,0.19602
0.02108101598607745,0.19619999999999999
0.02108174556253626,0.19638
0.021082301761117805,0.19655999999999998
0.02108268795686997,0.19674
0.021082907419339922,0.19691999999999998
0.02108296331695009,0.1971
0.021082858721148512,0.19727999999999998
0.02108259661034721,0.19746
0.02108217987366169,0.19763999999999998
0.021081611314463428,0.19782
0.021080893653756497,0.19799999999999998
0.02108002953338872,0.19818
0.02107902151910702,0.19835999999999998
0.021077872103465956,0.19854
0.021076583708597878,0.19871999999999998
0.02107515868885256,0.1989
0.021073599333313535,0.19907999999999998
0.021071907868198236,0.19926
0.02107008645914805,0.19944
0.021068137213414526,0.19962
0.021066062181947266,0.19979999999999998
0.02106386336138875,0.19998
0.021061542695981143,0.20016
0.021059102079389595,0.20034
0.02105654335644646,0.20051999999999998
0.021053868324820566,0.2007
0.02105107873661527,0.20088
0.021048176299899055,0.20106
0.02104516268017196,0.20124
0.021042039501771078,0.20142
0.021038808349218226,0.2016
0.021035470768512504,0.20178
0.021032028268370518,0.20196
0.021028482321416762,0.20214
0.02102483436532657,0.20232
0.02102108580392388,0.20249999999999999
0.021017238008235954,0.20268
0.02101329231750704,0.20285999999999998
0.021009250040172938,0.20304
0.021005112454798257,0.20321999999999998
0.021000880810977993,0.2034
0.02099655633020516,0.20357999999999998
0.020992140206705964,0.20376
0.0209876336082439,0.20393999999999998
0.02098303767689428,0.20412
0.020978353529790387,0.20429999999999998
0.020973582259842544,0.20448
0.020968724936431267,0.20465999999999998
0.020963782606075586,0.20484
0.020958756293077682,0.20501999999999998
0.020953647000144744,0.2052
0.02094845570898905,0.20537999999999998
0.02094318338090722,0.20556
0.020937830957339417,0.20573999999999998
0.02093239936040946,0.20592
0.020926889493446423,0.2061
0.02092130224148873,0.20628
0.020915638471771244,0.20645999999999998
0.02090989903419615,0.20664
0.020904084761788184,0.20682
0.02089819647113496,0.207
0.020892234962812856,0.20718
0.02088620102179908,0.20736
0.020880095417870444,0.20754
0.020873918905989376,0.20772
0.020867672226677625,0.2079
0.020861356106378147,0.20808
0.020854971257805638,0.20826
0.020848518380286084,0.20844
0.0208419981600858,0.20862
0.02083541127073034,0.20879999999999999
0.020828758373313556,0.20898
0.02082204011679738,0.20915999999999998
0.020815257138302384,0.20934
0.020808410063389685,0.20951999999999998
0.020801499506334434,0.2097
0.02079452607039113,0.20987999999999998
0.02078749034805109,0.21006
0.020780392921292436,0.21023999999999998
0.0207732343618227,0.21042
0.020766015231314414,0.21059999999999998
0.020758736081633953,0.21078
0.02075139745506375,0.21095999999999998
0.020743999884518204,0.21114
0.020736543893753477,0.21132
0.020729029997571344,0.2115
0.02072145870201738,0.21167999999999998
0.020713830504573587,0.21186
0.020706145894345683,0.21204
0.020698405352245264,0.21222
0.020690609351166924,0.21239999999999998
0.02068275835616061,0.21258
0.020674852824599247,0.21276
0.02066689320634188,0.21294
0.020658879943892445,0.21311999999999998
